course,module,question,option_a,option_b,option_c,option_d,answer,explanation,source_cue_title
The Walk-Around,1. The Walk-Around Routine,What is the number one reason to do a walk-around?,To find things wrong with the car,To pass the time while the tech is busy,To train the customer to do what you say do,To check the tire pressure,C,"Mitch: ask them to get in, they get in. Ask them to fire it up, they fire it up. You are training them to follow your direction before you ever recommend anything.",The 30-Second Walk-Around (Full Script)
The Walk-Around,1. The Walk-Around Routine,Roughly what percentage of customers approve all recommendations without a phone call?,1%,5%,15%,25%,B,5% will simply approve everything the moment they arrive. Knowing that number keeps you from assuming everyone needs convincing.,The 5% Who Click Approve Without Being Asked
The Walk-Around,1. The Walk-Around Routine,Which of these is the easiest thing to offer a customer on the drive?,A transmission service,A four-wheel alignment,An engine flush,Windshield wipers,D,Wipers are the easiest ask. The point is getting accustomed to asking for business on the drive.,Offer Something Outside Every Time
The Walk-Around,1. The Walk-Around Routine,"In the 30-second walk-around, what do you ask the customer to do first?",Pop the hood,Hop back in and fire it up,Check the tire tread,Sign the RO,B,The script starts by putting the customer back in the vehicle and having them start it — the first small instruction they follow.,The 30-Second Walk-Around (Full Script)
The Walk-Around,2. What the Vehicle Tells You,Why should you press the washer fluid button instead of just looking at the wipers?,It is faster,It impresses the customer,It is required by the MPI,"A visual inspection misses streaking, a broken line, low fluid, or a bad motor",D,A visual inspection misses everything. Hitting the button reveals streaking and whether the pump works at all.,Use the Wipers — Don't Just Look at Them
The Walk-Around,2. What the Vehicle Tells You,A vehicle that barely turns over on start-up is your cue for which conversation?,Alignment,Battery,Coolant,Cabin air filter,B,"Slow crank is the battery conversation, right there on the drive, before you get to the MPI.",Slow Crank = Battery Conversation
The Walk-Around,2. What the Vehicle Tells You,Why use a color-coded tread depth gauge instead of quoting 32nds?,Customers do not equate fractions of an inch well; color tells the story instantly,It is cheaper,It is more accurate,The manufacturer requires it,A,"Ask someone to draw a line 9/32nds long and you get wildly different answers. Green, yellow, red is understood instantly.",Color-Coded Tread Depth Gauge
The Walk-Around,2. What the Vehicle Tells You,What does a tire's born-on date tell the customer?,Which shop installed it,The load rating,That tires have an expiration date regardless of tread,The correct pressure,C,"Every tire has a manufacture date stamped on the sidewall, and tires expire. Most customers have no idea.",The Tire Born-On Date Close
The Walk-Around,3. Reading the Customer,Why check the backseat and radio during a walk-around?,To make sure nothing is stolen,They are clues to conversation and to how the vehicle is used,To check for damage,To find the owner's manual,B,"A car seat, a golf bag, or country music playing are all openings for a real conversation.",Check the Radio and Backseat for Clues
The Walk-Around,3. Reading the Customer,"On a truck walk-around, which three things should you look for?","Tire brand, paint, mileage","Radio, seats, floor mats","Wipers, bulbs, fluids","Payload, trailer hitch, sporting equipment",D,"Payload, hitch, and gear tell you how the truck is actually used — and point straight to fluid service opportunities.","Spot the Truck User — Payload, Hitch, and Gear"
The Walk-Around,3. Reading the Customer,What should you do with a personal detail a customer mentions?,Remember it,Tell the technician,Put it in the customer notes in your DMS immediately,Nothing — it is not relevant,C,"Store it in the DMS while it is fresh. When they return, you pull it up and the relationship continues where it left off.",Use Your DMS Notes — Store What You Learn
The Walk-Around,3. Reading the Customer,Why mention your family during a walk-around?,Trust — the research shows people with families are trusted more,To fill silence,To find common ground on sports,To extend the conversation,A,"A natural reference to your wife, daughter, or dad is a trust signal, not small talk.",Mention Your Family — The Trust Signal
The Walk-Around,4. Raising a Problem Well,What is the rule when you find something negative on a vehicle?,Document it and move on,Never bring it up without a positive solution,Tell the customer immediately,Let the technician raise it,B,"Customers see CYA coming a mile away. Every negative needs a paired action — a paint pen, dent removal, something they can do.",Never Bring Up a Negative Without a Positive Solution
The Walk-Around,4. Raising a Problem Well,Who should be able to understand every explanation you give?,A technician,A service manager,An 8-year-old and an 88-year-old simultaneously,Anyone who has owned a car,C,Universally clear beats technically sophisticated. 'No gas will leave you stranded' beats a fuel-system lecture.,Speak to the 8-Year-Old AND the 88-Year-Old
