tab,src_row,matched_id,stump_title,new_title,new_body,tier,codes_raw,codes_resolved,codes_unknown
Service Knowledge — AC HVAC,5,f96d08df-22d7-484b-9abd-5aaaddcaec31,"**A/C SERVICE IS THE SEASONAL INCOME CATEGORY THAT HITS TWICE A YEAR** (spring A/C prep + fall heating prep), with year-round odor and disinfection opportunities. Customer experiences IMMEDIATE, TANGI","A/C SERVICE IS THE SEASONAL INCOME CATEGORY THAT HITS TWICE A YEAR (spring A/C prep + fall heating prep), with year-roun","$150 service vs $1,000-$2,500 repair. Customer feels the difference instantly.",generic,ACR-047 ACS-048 EVC-007 ACO-010 ABL-006,ACR-047 ACS-048,EVC-007 ACO-010 ABL-006
Service Knowledge — AC HVAC,6,daff9263-8b39-4a52-86ef-6b4b25975cd4,"**THE R-134a TO R-1234yf REFRIGERANT TRANSITION IS THE SINGLE BIGGEST A/C INDUSTRY CHANGE IN 25 YEARS.** Most OEMs transitioned 2014-2019. **R-1234yf costs roughly 5-10x MORE than R-134a, and the two",THE R-134a TO R-1234yf REFRIGERANT TRANSITION IS THE SINGLE BIGGEST A/C INDUSTRY CHANGE IN 25 YEARS.,Check under-hood label first. R-134a vs R-1234yf = 5-10x cost difference.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,7,2b5ab1c5-d89c-4655-bc3f-bf6fa1651b59,**EPA SECTION 609 CERTIFICATION IS REQUIRED for any technician handling automotive refrigerant in the United States.** This is federal law — not optional. The certification ensures techs understand re,EPA SECTION 609 CERTIFICATION IS REQUIRED for any technician handling automotive refrigerant in the United States.,EPA Section 609 — federal requirement. Verify your techs.,generic,ACR-047 ACS-048,ACR-047 ACS-048,
Service Knowledge — AC HVAC,8,d6ebac4a-d38f-426c-9344-fef2db63903e,"**EV AND HYBRID ELECTRIC COMPRESSORS USE POE OIL ONLY — NEVER PAG OIL. CROSS-CONTAMINATION CAUSES ELECTRICAL SHORT CIRCUITS** in the electric compressor windings, leading to catastrophic compressor fa",EV AND HYBRID ELECTRIC COMPRESSORS USE POE OIL ONLY — NEVER PAG OIL.,Hybrid/EV = POE oil ONLY. NEVER PAG. Wrong oil = electrical short.,generic,ACR-047 ACS-048,ACR-047 ACS-048,
Service Knowledge — AC HVAC,9,fe5b6567-25a4-48bb-8b13-80abdf1651db,"**MITCH'S BEAT THE HEAT PROGRAM (preserved from existing Success Cycle Speech R43, R47).** The named program combining ABL-006 Arctic Blast + EVC-007 AC EVAP Core Cleaning into ONE complete A/C conver","MITCH'S BEAT THE HEAT PROGRAM (preserved from existing Success Cycle Speech R43, R47).",Beat the Heat — Arctic Blast + AC EVAP — 30K compressor warranty.,generic,ACR-047 ABL-006 EVC-007,ACR-047,ABL-006 EVC-007
Service Knowledge — AC HVAC,10,9b8e6a06-2f60-4699-a933-b9094aa912c9,"**THE CABIN AIR FILTER PAIRING — CRITICAL CROSS-SELL.** Every A/C service is a cabin air filter conversation, and every cabin air filter replacement is an A/C service conversation. **A clogged cabin a",THE CABIN AIR FILTER PAIRING — CRITICAL CROSS-SELL.,Every A/C conversation = cabin filter conversation. Year-round service.,generic,ACR-047 CAF-002,ACR-047 CAF-002,
Service Knowledge — AC HVAC,11,90a5b091-e83e-4fb7-9c4d-e6f1e9a174c4,"**MOLD AND MILDEW IN THE EVAPORATOR IS THE MOST COMMON A/C COMPLAINT** — fast turnaround, low-cost service, customers love the result. The evaporator is a perfect environment for mold growth: warm, da","MOLD AND MILDEW IN THE EVAPORATOR IS THE MOST COMMON A/C COMPLAINT — fast turnaround, low-cost service, customers love t",Smell? Service. MOC has 5 odor products at different price points.,generic,ACO-010 EVC-007,,ACO-010 EVC-007
Service Knowledge — AC HVAC,12,e6700a98-9aa3-4ec1-bb8d-e8a68127c1bf,"**ANNUAL A/C INSPECTION BEFORE PEAK SUMMER IS THE INDUSTRY BEST PRACTICE** — catch leaks before customer complaints start. Most OEMs (Ford, GM, BG Products) explicitly recommend annual inspection. **V",ANNUAL A/C INSPECTION BEFORE PEAK SUMMER IS THE INDUSTRY BEST PRACTICE — catch leaks before customer complaints start.,Annual inspection. Catch leaks before complaints.,generic,ACS-048,ACS-048,
Service Knowledge — AC HVAC,17,,,"BUMPER-TO-BUMPER COVERAGE: 3-year/36,000-mile bumper-to-bumper.",Ford 3/36K. A/C compressor = B2B only.,generic,ACR-047 ACS-048,ACR-047 ACS-048,
Service Knowledge — AC HVAC,18,,,REFRIGERANT TRANSITION TIMELINE: F-150 transitioned to R-1234yf in 2017-2018; Mustang in 2015; Explorer in 2018; Escape ,F-150 / Escape 2017-2018; Mustang 2015. Cabin filter 20-30K.,generic,ACR-047 CAF-002,ACR-047 CAF-002,
Service Knowledge — AC HVAC,19,,,Ford uses Motorcraft FS-65 PAG oil for R-134a applications and Motorcraft YN-35 PAG oil for R-1234yf applications.,Ford EV = POE oil. NEVER PAG.,generic,ACR-047 FS-65 YN-35,ACR-047,FS-65 YN-35
Service Knowledge — AC HVAC,20,,,"Common Ford issues: condenser leaks (rock impact in front-end), evaporator core failures on legacy 5.4L applications, co","Ford = condenser rocks, legacy 5.4L evap, clutch wear.",zero,ACR-047 ACS-048,ACR-047 ACS-048,
Service Knowledge — AC HVAC,22,,,"BUMPER-TO-BUMPER COVERAGE: 3-year/36,000-mile bumper-to-bumper.",GM 3/36K B2B only.,generic,ACR-047 ACS-048,ACR-047 ACS-048,
Service Knowledge — AC HVAC,23,,,REFRIGERANT TRANSITION: GM transitioned to R-1234yf approximately 2017-2018 across most light-duty applications.,GM 2017-2018 transition. Cabin filter 22-45K.,generic,ACR-047 CAF-002,ACR-047 CAF-002,
Service Knowledge — AC HVAC,24,,,"THE HUMMER EV, SILVERADO EV, LYRIQ, BOLT EV USE R-1234yf WITH ELECTRIC COMPRESSORS AND POE OIL.",GM EV = POE oil ONLY. PAG = electrical short.,generic,ACR-047,ACR-047,
Service Knowledge — AC HVAC,25,,,"Suburban, Yukon XL, and Escalade ESV with rear A/C have larger refrigerant capacities.","GM SUVs = larger capacity. C8 = mid-engine access. Common: evap, rear comp, blend-door.",zero,ACR-047,ACR-047,
