group,tier,shape,ratio,why,flag,quote_key,id,voice,slot,body_140,linked,proposed_action,decision
46,exact,identical,1.00,identical,,Q0067,d85393e2-3b1d-4e2a-93f4-b70bd2f620a9,Kobe Bryant,slot3,No structure. No standards. No discipline. That is the real problem.,,survive,
46,exact,identical,1.00,identical,,Q0121,de53fbfa-28f9-4e65-b963-aebf91ea2b82,Kobe Bryant,slot3,"No structure, no standards, no discipline — that is the real problem.",,retire,
1,near,drift,0.89,jaccard 0.900,,Q0070,024500b7-d284-488c-abe0-28f653353b67,Kobe Bryant,slot3,Every small win compounds. Stack it for 90 days and your identity changes.,,retire,
1,near,drift,0.89,jaccard 0.900,,Q0103,00369509-d71f-490e-a3a7-1c6ae4101e6c,Kobe Bryant,both,Every small win compounds. Stack that for 90 days and your entire identity changes.,,survive,
7,near,drift,0.84,jaccard 0.923,,Q0113,115e975e-401e-43b9-8529-f5a21dcef35f,Kobe Bryant,both,If I sit there and have to tell myself you're a failure — that's almost worse than death.,,retire,
7,near,drift,0.84,jaccard 0.923,,Q0133,a928337c-a2ef-4a71-bcdf-f715e2070802,Kobe Bryant,both,If I have to sit there and face myself and tell myself you're a failure — that's almost worse than death.,,survive,
8,near,drift,0.71,one contains the other,,Q0114,1417e93c-ac0f-4d6b-9666-851fb58f16c1,Kobe Bryant,slot3,Mental toughness means you can take your mind someplace else and concentrate on that other thing to the point where the thing that was bothe,,survive,
8,near,drift,0.71,one contains the other,,Q0115,134f86b4-cacb-40e0-9938-c28cd5fc603a,Kobe Bryant,both,Take your mind someplace else and concentrate on that other thing to the point where the thing that was bothering you is no longer a focus.,,retire,
9,near,drift,0.73,one contains the other,,Q0075,ddfa61ab-8926-44b5-9156-30c1216acdd7,Kobe Bryant,slot3,My brain cannot process failure. It will not.,,retire,
9,near,drift,0.73,one contains the other,,Q0112,191d226b-a214-4208-a9e7-6f438ff68eb2,Kobe Bryant,both,My brain cannot process failure. It will not process failure.,,survive,
12,near,drift,0.75,one contains the other,,Q0436,aa68672c-b421-4342-9006-1c4757d0f520,Ted Lasso,slot2,"If you're comfortable while doing it, you're probably doing it wrong.",,retire,
12,near,drift,0.75,one contains the other,,Q0445,34d2f2ad-b044-42df-841d-910412e32d59,Ted Lasso,slot2,"Taking on a challenge — if you're comfortable while doing it, you're probably doing it wrong.",,survive,
13,near,drift,0.61,one contains the other,,Q0037,3824fff3-5655-405d-9e54-82919a515e3a,Jimmy Valvano,slot3,It cannot touch my mind. It cannot touch my heart. And it cannot touch my soul.,,retire,
13,near,drift,0.61,one contains the other,,Q0044,7e9bba60-bed7-4d02-866c-e1dd2677cc98,Jimmy Valvano,both,Cancer can take away all my physical abilities. It cannot touch my mind. It cannot touch my heart. And it cannot touch my soul.,,retire,
13,near,drift,0.61,one contains the other,,Q0046,b0efa01e-b588-47d6-8abf-0c704da326d1,Jimmy Valvano,both,It cannot touch my mind. It cannot touch my heart. And it cannot touch my soul. Those three things are going to carry on forever.,,survive,
14,near,drift,0.64,one contains the other,,Q0016,38c14ac5-0a28-4891-9da5-b4bfd074e106,David Burkus,slot3,Set a fixed time. Leave work behind. Get outside. Move. Refuel.,,retire,
14,near,drift,0.64,one contains the other,,Q0018,830f2509-fad7-4ad5-a562-cfdcb5004523,David Burkus,slot2,"Five steps to the perfect break: set a fixed time, leave work behind, get outside, move, refuel.",,survive,
18,near,drift,0.95,jaccard 0.900,,Q0064,d85e49ea-9123-48cc-8081-0ef25c68003e,Kobe Bryant,slot3,Those times when you don't feel like it but you do it anyway — that is actually the dream.,,retire,
18,near,drift,0.95,jaccard 0.900,,Q0118,40999817-6698-44e2-a738-3d46b2130ef8,Kobe Bryant,slot3,Those times when you don't feel like working but you do it anyway — that is actually the dream.,,survive,
26,near,drift,0.68,"shares a sentence: ""don't try to make a happy kid happier""",,Q0224,d0b4acd2-38e1-4ddc-9714-1a1da7170e92,Mitch Hardt,slot3,"Don't try to make a happy kid happier. If it's not broken, don't break it.",,retire,
26,near,drift,0.68,"shares a sentence: ""don't try to make a happy kid happier""",,Q0309,57e2fb9c-d447-476a-90a1-7d9551758836,Mitch Hardt,slot3,The most underrated management skill is knowing when to do nothing. Don't try to make a happy kid happier.,linked,survive,
