code,name,catalog_category,family,coachable,confidence,note
EAF-001,Engine Air Filter,Filters,Filters,true,high,
CAF-002,Cabin Air Filter,Filters,Filters,true,high,
FF-003,Fuel Filter,Filters,Filters,true,medium,"Filed by part, not by system. Fuel System is arguable; kept with the other filters."
TRF-004,Transmission Filter,Filters,Filters,true,medium,"Same split as FF-003: the filter is a Filters part, the fluid service (TRF-011) is Fluids."
DFF-005,Differential Filter,Filters,Differential,true,ruled,"Never sold alone; follows its piggyback partner DFF-014 (Differential Fluid). Ryan's group-4 rule."
PCV-006,PCV Valve,Filters,Filters,true,ruled,"Never sold alone; follows its piggyback partner EAF-001 (Engine Air Filter). Ryan's group-4 rule."
BRF-007,Breather Filter,Filters,Filters,true,high,
OF-008,Oil Filter,Filters,Oil Change,true,ruled,"Group 3 — coach the conversation, not the part. Moves with OIL-009, EFL-046, OAD-063."
OIL-009,Engine Oil Service,Fluids,Oil Change,true,ruled,"Name over category. The catalog files this under Fluids; Oil Change is its own family and this is its code."
CLF-010,Coolant Flush,Fluid Exchanges,Fluids,true,medium,"Belts & Cooling is the hardware — belts, hoses, water pump. This is the fluid."
TRF-011,Transmission Fluid,Fluid Exchanges,Fluids,true,high,
BFF-012,Brake Fluid Flush,Brakes,Brake Service,true,high,
BFF-013,Brake Quiet,Brakes,Brake Service,true,high,"CATALOG FIX FOR MITCH: BFF-012 is Brake Fluid Flush and BFF-013 is Brake Quiet — two unrelated services one digit apart under a prefix that reads as 'brake fluid'."
PSF-013,Power Steering Fluid,Fluid Exchanges,Fluids,true,high,
DFF-014,Differential Fluid,Fluid Exchanges,Differential,true,high,"The fluid IS the service for this family."
TCF-015,Transfer Case Fluid,Fluid Exchanges,Fluids,true,medium,"Driveline, so Differential is arguable. Filed with the other fluid exchanges."
WWF-016,Washer Fluid Top-Off,Fluid Exchanges,Wipers,true,ruled,"CHANGED from my Fluids proposal. Follows its piggyback partner WBF-018 (Front Wiper Blades), and the Wipers family exists. Ryan's group-4 rule."
FSC-017,Fuel System Cleaner,Fluid Exchanges,Fuel System,true,high,
WBF-018,Front Wiper Blades,Wipers,Wipers,true,high,
WBR-019,Rear Wiper Blade,Wipers,Wipers,true,high,"PIGGYBACK TYPO: references WTR-022, which does not exist."
WBI-020,Wiper Inserts,Wipers,Wipers,true,high,"PIGGYBACK TYPO: references WTR-023, which does not exist."
WTR-021,Windshield Treatment,Wipers,Wipers,true,high,"PIGGYBACK TYPOS: references WBF-019 and WBF-020, neither of which exists."
TRO-022,Tire Rotation,Tires,Tires & Rotation,true,high,
TBL-023,Tire Balance,Tires,Tires & Rotation,true,high,
ALN-024,Wheel Alignment,Tires,Alignment,true,high,"Name over category: Alignment is its own coachable family."
NIT-025,Nitrogen Inflation,Tires,Tires & Rotation,true,high,
TPS-026,TPMS Service,Tires,Tires & Rotation,true,high,"CATALOG FIX FOR MITCH: collides with TPS-050 Tire Pressure Check."
TSL-027,Tire Sealant,Tires,Tires & Rotation,true,high,
BPF-028,Brake Pads Front,Brakes,Brake Service,true,high,
BPR-029,Brake Pads Rear,Brakes,Brake Service,true,high,
RTF-030,Rotors Front,Brakes,Brake Service,true,high,
RTR-031,Rotors Rear,Brakes,Brake Service,true,high,
